Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Pastinake frisch gegart ,"       17,2          ","        13,0  ","         90,6             ","        47,0  ","          1,1             ","        64,0  ","            0,3             ","           0,5  ","              2,0             ","            0,6  ","         0,2             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          0,9  ","        29,0            ","          11,0  ","         0,0             ","         0,1  ","             3,9             ","         0,1  ","         4,0            ","         0,1  ","        205,0            ","         10,5   "
Schwarzwurzel frisch ,"       16,7          ","        23,0  ","         88,3             ","        53,0  ","          1,4             ","        76,0  ","            0,4             ","           3,3  ","              1,6             ","            0,2  ","         0,2             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          6,0  ","        70,0            ","          19,0  ","         0,0             ","         0,1  ","             4,3             ","         0,0  ","         5,0            ","         0,1  ","        320,0            ","          4,0   "
Schwarzwurzel frisch gegart ,"       14,8          ","        15,0  ","         88,8             ","        53,0  ","          1,3             ","        72,0  ","            0,4             ","           3,0  ","              1,2             ","            0,2  ","         0,2             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          6,4  ","        74,0            ","           7,0  ","         0,0             ","         0,1  ","             4,2             ","         0,0  ","         2,0            ","         0,1  ","        153,0            ","          2,5   "
Schwarzwurzel Konserve gegart ,"       14,6          ","        17,0  ","         88,4             ","        50,0  ","          1,3             ","        64,0  ","            0,4             ","           2,3  ","              1,3             ","            0,2  ","         0,2             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          6,1  ","        72,0            ","           2,0  ","         0,0             ","         0,0  ","             4,1             ","         0,0  ","       218,0            ","         0,0  ","        180,0            ","          0,9   "
Knollensellerie frisch ,"       19,4          ","         9,0  ","         90,4             ","        68,0  ","          1,7             ","        80,0  ","            0,3             ","           0,5  ","              2,3             ","            0,4  ","         0,1             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          0,5  ","        30,0            ","           7,0  ","         0,0             ","         0,0  ","             4,2             ","         0,1  ","        77,0            ","         0,2  ","        321,0            ","          8,3   "
Knollensellerie frisch gegart ,"       15,3          ","         5,0  ","         91,9             ","        64,0  ","          1,5             ","        71,0  ","            0,3             ","           0,4  ","              1,6             ","            0,3  ","         0,1             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          0,5  ","        30,0            ","           2,0  ","         0,0             ","         0,0  ","             3,9             ","         0,0  ","        35,0            ","         0,1  ","        142,0            ","          4,9   "
Rettich frisch ,"       13,6          ","        15,0  ","         93,5             ","        33,0  ","          1,0             ","        29,0  ","            0,2             ","           0,8  ","              1,9             ","            0,3  ","         0,1             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","        10,0            ","          17,0  ","         0,0             ","         0,0  ","             2,5             ","         0,0  ","        18,0            ","         0,1  ","        322,0            ","         27,0   "
Radieschen frisch ,"       14,6          ","         8,0  ","         94,1             ","        34,0  ","          1,0             ","        26,0  ","            0,1             ","           1,5  ","              2,1             ","            0,2  ","         0,1             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","        10,0            ","          19,0  ","         0,0             ","         0,0  ","             1,6             ","         0,0  ","        17,0            ","         0,1  ","        255,0            ","         29,0   "
Bohnen grün gegart ,"       25,4          ","        25,0  ","         88,4             ","        63,0  ","          2,4             ","        38,0  ","            0,2             ","           0,8  ","              3,2             ","            0,4  ","         0,1             ","        56,0  ","           0,0            ","         0,3  ","         0,0             ","          0,1  ","        47,0            ","           8,0  ","         0,0             ","         0,1  ","             3,1             ","         0,1  ","         2,0            ","         0,2  ","        206,0            ","         12,2   "
Bohnen grün tiefgefroren gegart ,"       27,0          ","        25,0  ","         87,5             ","        62,0  ","          2,6             ","        37,0  ","            0,3             ","           0,8  ","              3,3             ","            0,3  ","         0,1             ","        59,0  ","           0,0            ","         0,3  ","         0,0             ","          0,2  ","        51,0            ","           6,0  ","         0,0             ","         0,1  ","             3,4             ","         0,1  ","         2,0            ","         0,2  ","        204,0            ","          8,7   "
