Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Vollkornbrot ,"      187,6          ","        57,0  ","         44,0             ","        22,0  ","          6,5             ","       232,0  ","            1,0             ","           2,7  ","             37,4             ","            2,4  ","         0,5             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          1,0  ","        57,0            ","          15,0  ","         0,0             ","         0,1  ","             8,5             ","         0,1  ","       562,0            ","         0,2  ","        289,0            ","          0,0   "
Vollkornbrot mit Ölsamen ,"      203,6          ","        71,0  ","         42,4             ","        25,0  ","          7,1             ","       248,0  ","            3,0             ","           2,8  ","             36,4             ","            2,5  ","         1,7             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          2,5  ","        61,0            ","          17,0  ","         0,0             ","         0,2  ","             8,4             ","         0,1  ","       539,0            ","         0,2  ","        306,0            ","          0,0   "
Graubrot-Toastbrot mit Schrot ,"      247,6          ","        48,0  ","         35,7             ","        41,0  ","          7,2             ","       181,0  ","            3,5             ","           2,2  ","             46,1             ","            1,6  ","         1,0             ","        20,0  ","           0,0            ","         0,0  ","         0,0             ","          1,2  ","        74,0            ","          22,0  ","         0,5             ","         0,2  ","             4,9             ","         0,2  ","       507,0            ","         0,2  ","        240,0            ","          0,1   "
Graubrot-Weizenmischbrot ,"      219,1          ","        40,0  ","         41,0             ","        22,0  ","          7,1             ","       130,0  ","            0,9             ","           1,7  ","             44,9             ","            1,3  ","         0,4             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,6  ","        49,0            ","          12,0  ","         0,0             ","         0,2  ","             3,9             ","         0,1  ","       508,0            ","         0,1  ","        157,0            ","          0,0   "
Graubrot-Mehrkornbrot ,"      221,1          ","        45,0  ","         40,2             ","        25,0  ","          6,1             ","       142,0  ","            1,0             ","           1,9  ","             46,0             ","            1,4  ","         0,5             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,7  ","        53,0            ","          13,0  ","         0,0             ","         0,2  ","             4,7             ","         0,1  ","       417,0            ","         0,2  ","        176,0            ","          0,0   "
Weißbrot-Toastbrot ,"      259,6          ","        19,0  ","         35,3             ","        35,0  ","          7,9             ","       131,0  ","            3,4             ","           1,6  ","             48,4             ","            1,1  ","         0,9             ","        20,0  ","           0,0            ","         0,0  ","         0,0             ","          0,7  ","        64,0            ","          17,0  ","         0,5             ","         0,1  ","             2,7             ","         0,2  ","       507,0            ","         0,1  ","        168,0            ","          0,1   "
Weißbrot-Weizenbrot ,"      239,5          ","        23,0  ","         37,9             ","        18,0  ","          7,4             ","        90,0  ","            1,3             ","           1,6  ","             48,5             ","            1,0  ","         0,5             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        53,0            ","          12,0  ","         0,0             ","         0,1  ","             2,8             ","         0,1  ","       517,0            ","         0,1  ","        124,0            ","          0,0   "
Vollkornbrötchen ,"      223,7          ","        96,0  ","         37,6             ","        33,0  ","          8,1             ","       262,0  ","            1,6             ","           2,8  ","             43,5             ","            2,1  ","         0,7             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          1,3  ","        67,0            ","          13,0  ","         0,0             ","         0,3  ","             6,6             ","         0,1  ","       540,0            ","         0,3  ","        232,0            ","          0,0   "
Vollkornbrötchen mit Ölsamen ,"      239,5          ","       109,0  ","         36,2             ","        36,0  ","          8,8             ","       278,0  ","            3,7             ","           3,0  ","             42,1             ","            2,3  ","         2,0             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          2,9  ","        71,0            ","          16,0  ","         0,0             ","         0,4  ","             6,6             ","         0,1  ","       516,0            ","         0,3  ","        253,0            ","          0,0   "
Brötchen ,"      251,9          ","        24,0  ","         34,6             ","        19,0  ","          7,8             ","        95,0  ","            1,4             ","           1,7  ","             51,0             ","            1,0  ","         0,5             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        56,0            ","           7,0  ","         0,0             ","         0,1  ","             3,0             ","         0,1  ","       544,0            ","         0,1  ","        130,0            ","          0,0   "
Brötchen mit Ölsamen ,"      267,5          ","        42,0  ","         33,2             ","        23,0  ","          8,5             ","       120,0  ","            3,7             ","           1,9  ","             49,2             ","            1,2  ","         1,9             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          2,2  ","        61,0            ","           8,0  ","         0,0             ","         0,2  ","             3,1             ","         0,1  ","       517,0            ","         0,1  ","        159,0            ","          0,0   "
Brötchen-Roggenbrötchen ,"      223,4          ","        50,0  ","         38,3             ","        20,0  ","          6,4             ","       156,0  ","            1,0             ","           2,2  ","             46,3             ","            1,8  ","         0,5             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,6  ","        58,0            ","           9,0  ","         0,0             ","         0,1  ","             5,8             ","         0,1  ","       466,0            ","         0,2  ","        230,0            ","          0,0   "
Knäckebrot ,"      358,4          ","        34,0  ","          7,0             ","        27,0  ","         11,1             ","       135,0  ","            2,0             ","           2,3  ","             72,6             ","            1,5  ","         0,7             ","         6,0  ","           0,0            ","         0,0  ","         0,0             ","          0,5  ","        79,0            ","          17,0  ","         0,0             ","         0,1  ","             4,2             ","         0,2  ","       774,0            ","         0,2  ","        186,0            ","          0,0   "
Grahambrot ,"      217,9          ","        75,0  ","         40,4             ","        28,0  ","          7,8             ","       230,0  ","            1,4             ","           2,9  ","             42,7             ","            1,8  ","         0,6             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          1,0  ","        55,0            ","          12,0  ","         0,0             ","         0,2  ","             5,3             ","         0,1  ","       512,0            ","         0,2  ","        212,0            ","          0,0   "
Pumpernickel ,"      187,6          ","        57,0  ","         44,0             ","        22,0  ","          6,5             ","       232,0  ","            1,0             ","           2,7  ","             37,4             ","            2,4  ","         0,5             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          1,0  ","        57,0            ","          15,0  ","         0,0             ","         0,1  ","             8,5             ","         0,1  ","       562,0            ","         0,2  ","        289,0            ","          0,0   "
Baguette ,"      251,9          ","        24,0  ","         34,6             ","        19,0  ","          7,8             ","        95,0  ","            1,4             ","           1,7  ","             51,0             ","            1,0  ","         0,5             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        56,0            ","           7,0  ","         0,0             ","         0,1  ","             3,0             ","         0,1  ","       544,0            ","         0,1  ","        130,0            ","          0,0   "
Fladenbrote ,"      239,5          ","        23,0  ","         37,9             ","        18,0  ","          7,4             ","        90,0  ","            1,3             ","           1,6  ","             48,5             ","            1,0  ","         0,5             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        53,0            ","          12,0  ","         0,0             ","         0,1  ","             2,8             ","         0,1  ","       517,0            ","         0,1  ","        124,0            ","          0,0   "
Paniermehl ,"      358,6          ","        23,0  ","          6,8             ","        50,0  ","         10,1             ","       100,0  ","            2,1             ","           1,2  ","             73,5             ","            0,9  ","         0,7             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        60,0            ","          18,0  ","         0,0             ","         0,2  ","             5,3             ","         0,1  ","       400,0            ","         0,1  ","        130,0            ","          0,0 "
Getreide ,"      313,4          ","       128,0  ","         13,0             ","        38,0  ","         11,7             ","       341,0  ","            2,0             ","           3,3  ","             61,0             ","            2,7  ","         0,9             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          1,4  ","        90,0            ","          30,0  ","         0,0             ","         0,5  ","            10,3             ","         0,1  ","         8,0            ","         0,4  ","        381,0            ","          0,0   "
Weizen Vollkorn ,"      313,4          ","       128,0  ","         13,0             ","        38,0  ","         11,7             ","       341,0  ","            2,0             ","           3,3  ","             61,0             ","            2,7  ","         0,9             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          1,4  ","        90,0            ","          30,0  ","         0,0             ","         0,5  ","            10,3             ","         0,1  ","         8,0            ","         0,4  ","        381,0            ","          0,0   "
Weizen Keim ,"      314,1          ","       250,0  ","          2,2             ","        69,0  ","         26,6             ","      1100,0  ","            9,2             ","           7,9  ","             30,6             ","           12,0  ","         3,8             ","        10,0  ","           0,0            ","         0,1  ","         0,0             ","         24,7  ","       843,0            ","         304,0  ","         0,0             ","         2,0  ","            17,6             ","         0,7  ","         5,0            ","         0,5  ","        837,0            ","          0,0   "
Weizen Grieß ,"      326,1          ","        30,0  ","         13,1             ","        17,0  ","          9,6             ","        87,0  ","            0,8             ","           1,0  ","             68,9             ","            3,3  ","         0,4             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,8  ","        80,0            ","          19,0  ","         0,0             ","         0,1  ","             7,1             ","         0,0  ","         1,0            ","         0,1  ","        112,0            ","          0,0   "
Roggen Vollkorn ,"      294,5          ","       120,0  ","         13,7             ","        64,0  ","          9,0             ","       360,0  ","            1,7             ","           4,9  ","             59,7             ","            3,9  ","         0,8             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          2,0  ","        70,0            ","          38,0  ","         0,0             ","         0,3  ","            14,0             ","         0,2  ","         4,0            ","         0,3  ","        510,0            ","          0,0   "
Hafer ganzes Korn ,"      353,6          ","       129,0  ","         12,8             ","        80,0  ","         11,7             ","       342,0  ","            7,1             ","           5,8  ","             59,8             ","            4,5  ","         2,8             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,8  ","       102,0            ","          15,0  ","         0,0             ","         0,5  ","             5,6             ","         0,2  ","         8,0            ","         1,0  ","        355,0            ","          0,0   "
Hafer Flocken ,"      370,3          ","       139,0  ","         10,0             ","        54,0  ","         12,5             ","       391,0  ","            7,0             ","           4,6  ","             63,3             ","            4,1  ","         2,8             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          1,5  ","       100,0            ","          11,0  ","         0,0             ","         0,6  ","             5,4             ","         0,2  ","         7,0            ","         0,2  ","        348,0            ","          0,0   "
Gerste Vollkorn ,"      320,1          ","       114,0  ","         11,5             ","        38,0  ","          9,8             ","       342,0  ","            2,1             ","           2,8  ","             64,3             ","            2,5  ","         0,9             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,7  ","       108,0            ","          29,0  ","         0,0             ","         0,4  ","             9,8             ","         0,2  ","        18,0            ","         0,6  ","        444,0            ","          0,0   "
Gerste Perlgraupen ,"      340,0          ","        65,0  ","         12,2             ","        14,0  ","          9,6             ","       189,0  ","            1,4             ","           2,0  ","             71,0             ","            2,1  ","         0,6             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,2  ","       100,0            ","          11,0  ","         0,0             ","         0,1  ","             4,6             ","         0,1  ","         5,0            ","         0,2  ","        190,0            ","          0,0   "
Mehl ,"      337,1          ","        20,0  ","         13,9             ","        15,0  ","          9,8             ","        74,0  ","            1,0             ","           1,5  ","             70,9             ","            1,0  ","         0,5             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        40,0            ","           6,0  ","         0,0             ","         0,1  ","             4,0             ","         0,0  ","         2,0            ","         0,2  ","        108,0            ","          0,0   "
Weizen Vollkornmehl ,"      309,3          ","       124,0  ","         15,0             ","        32,0  ","         11,4             ","       345,0  ","            2,4             ","           3,4  ","             59,5             ","            3,4  ","         1,1             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          1,5  ","        82,0            ","          28,0  ","         0,0             ","         0,5  ","            10,0             ","         0,2  ","         3,0            ","         0,5  ","        337,0            ","          0,0   "
Weizenmehl Typ 1050 ,"      334,4          ","        53,0  ","         13,7             ","        14,0  ","         11,2             ","       208,0  ","            1,8             ","           2,9  ","             67,2             ","            2,0  ","         0,8             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,6  ","        46,0            ","          10,0  ","         0,0             ","         0,4  ","             5,2             ","         0,1  ","         2,0            ","         0,2  ","        203,0            ","          0,0   "
Weizen Feinmehl Typ 405 ,"      337,1          ","        20,0  ","         13,9             ","        15,0  ","          9,8             ","        74,0  ","            1,0             ","           1,5  ","             70,9             ","            1,0  ","         0,5             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        40,0            ","           6,0  ","         0,0             ","         0,1  ","             4,0             ","         0,0  ","         2,0            ","         0,2  ","        108,0            ","          0,0   "
Weizen Feinmehl Typ 550 ,"      337,8          ","        10,0  ","         13,7             ","        16,0  ","          9,8             ","       113,0  ","            1,1             ","           1,5  ","             70,8             ","            1,2  ","         0,5             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        40,0            ","           7,0  ","         0,0             ","         0,1  ","             4,1             ","         0,1  ","         3,0            ","         0,1  ","        126,0            ","          0,0   "
Weizen Kleie ,"      172,5          ","       590,0  ","         10,2             ","        76,0  ","         14,9             ","      1288,0  ","            4,7             ","          12,9  ","             17,5             ","           13,3  ","         2,1             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          2,7  ","       142,0            ","         178,0  ","         0,0             ","         0,6  ","            45,4             ","         0,5  ","        28,0            ","         0,7  ","       1390,0            ","          0,0   "
Roggen Vollkornmehl ,"      294,5          ","       120,0  ","         13,7             ","        64,0  ","          9,0             ","       360,0  ","            1,7             ","           4,9  ","             59,7             ","            3,9  ","         0,8             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          2,0  ","        70,0            ","          38,0  ","         0,0             ","         0,3  ","            14,0             ","         0,2  ","         4,0            ","         0,3  ","        510,0            ","          0,0   "
Roggenmehl Typ 1150 ,"      318,7          ","        67,0  ","         13,6             ","        20,0  ","          8,3             ","       196,0  ","            1,3             ","           2,6  ","             67,2             ","            2,4  ","         0,6             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,9  ","        66,0            ","          38,0  ","         0,0             ","         0,2  ","             8,6             ","         0,1  ","         1,0            ","         0,3  ","        297,0            ","          0,0   "
Grünkern Vollkorn ,"      324,9          ","       130,0  ","         12,5             ","        22,0  ","         10,8             ","       411,0  ","            2,7             ","           4,2  ","             63,3             ","            3,5  ","         1,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","       125,0            ","          30,0  ","         0,0             ","         0,3  ","             8,8             ","         0,1  ","         3,0            ","         0,3  ","        447,0            ","          0,0   "
Buchweizen ,"      340,9          ","        85,0  ","         12,8             ","        21,0  ","          9,1             ","       254,0  ","            1,7             ","           3,2  ","             71,0             ","            2,5  ","         0,6             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          0,8  ","       150,0            ","          30,0  ","         0,0             ","         0,2  ","             3,7             ","         0,2  ","         2,0            ","         0,6  ","        324,0            ","          0,0   "
Hirse ganzes Korn ,"      331,1          ","       170,0  ","          7,5             ","        20,0  ","          9,6             ","       310,0  ","            3,6             ","           9,0  ","             64,0             ","            3,4  ","         1,5             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,2  ","        66,0            ","          18,0  ","         0,0             ","         0,3  ","            13,0             ","         0,1  ","         3,0            ","         0,8  ","        430,0            ","          0,0   "
Hirse Korn geschält ,"      354,3          ","       170,0  ","         11,4             ","        20,0  ","          9,8             ","       310,0  ","            3,9             ","           9,0  ","             68,8             ","            1,8  ","         1,7             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        85,0            ","          12,0  ","         0,0             ","         0,4  ","             3,8             ","         0,1  ","         3,0            ","         0,8  ","         43,0            ","          0,0   "
Hirse Flocken ,"      354,3          ","       170,0  ","         11,4             ","        20,0  ","          9,8             ","       310,0  ","            3,9             ","           9,0  ","             68,8             ","            1,8  ","         1,7             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        85,0            ","          12,0  ","         0,0             ","         0,4  ","             3,8             ","         0,1  ","         3,0            ","         0,8  ","         43,0            ","          0,0   "
Mais Vollkorn ,"      331,3          ","       120,0  ","         12,3             ","        15,0  ","          8,5             ","       256,0  ","            3,8             ","           1,5  ","             64,7             ","            2,5  ","         1,4             ","       185,0  ","           0,0            ","         0,9  ","         0,0             ","          2,0  ","        60,0            ","          17,0  ","         0,0             ","         0,4  ","             9,2             ","         0,2  ","         6,0            ","         0,4  ","        330,0            ","          0,0   "
Mais Grieß ,"      345,5          ","        20,0  ","         11,0             ","         4,0  ","          8,8             ","        73,0  ","            1,1             ","           1,0  ","             73,8             ","            0,4  ","         0,4             ","        44,0  ","           0,0            ","         0,3  ","         0,0             ","          0,7  ","        29,0            ","           3,0  ","         0,0             ","         0,1  ","             5,0             ","         0,0  ","         1,0            ","         0,2  ","         80,0            ","          0,0   "
Reis ungeschält ,"      350,0          ","       157,0  ","         13,1             ","        23,0  ","          7,2             ","       325,0  ","            2,2             ","           2,6  ","             74,1             ","            1,5  ","         0,8             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,7  ","       134,0            ","          13,0  ","         0,0             ","         0,4  ","             2,2             ","         0,1  ","        10,0            ","         0,7  ","        150,0            ","          0,0   "
Reis ungeschält gegart ,"      112,2          ","        62,0  ","         72,1             ","         9,0  ","          2,6             ","       122,0  ","            0,8             ","           1,0  ","             23,3             ","            0,6  ","         0,3             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        53,0            ","           1,0  ","         0,0             ","         0,1  ","             0,8             ","         0,0  ","         4,0            ","         0,1  ","         59,0            ","          0,0   "
Reis geschält ,"      349,3          ","        64,0  ","         12,9             ","         6,0  ","          6,8             ","       120,0  ","            0,6             ","           0,6  ","             77,7             ","            0,5  ","         0,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,2  ","        87,0            ","          18,0  ","         0,0             ","         0,1  ","             1,4             ","         0,0  ","         6,0            ","         0,2  ","        103,0            ","          0,0   "
Reis geschält gegart ,"       93,1          ","        21,0  ","         76,7             ","         2,0  ","          2,0             ","        38,0  ","            0,2             ","           0,2  ","             20,5             ","            0,2  ","         0,1             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,1  ","        29,0            ","           2,0  ","         0,0             ","         0,0  ","             0,4             ","         0,0  ","         2,0            ","         0,0  ","         19,0            ","          0,0   "
Reis parboiled ,"      351,7          ","        28,0  ","         12,0             ","        24,0  ","          6,5             ","       110,0  ","            0,5             ","           2,9  ","             78,9             ","            1,7  ","         0,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        83,0            ","           9,0  ","         0,0             ","         0,4  ","             1,4             ","         0,0  ","         6,0            ","         0,4  ","        150,0            ","          0,0   "
Reis parboiled gegart ,"      107,9          ","        11,0  ","         72,9             ","         9,0  ","          2,2             ","        40,0  ","            0,2             ","           1,1  ","             24,0             ","            0,6  ","         0,1             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,1  ","        32,0            ","           1,0  ","         0,0             ","         0,1  ","             0,5             ","         0,0  ","         2,0            ","         0,1  ","         57,0            ","          0,0   "
Mais Stärke ,"      351,4          ","         2,0  ","         12,6             ","         0,0  ","          0,4             ","        30,0  ","            0,1             ","           0,5  ","             85,8             ","            0,6  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             1,0             ","         0,0  ","         3,0            ","         0,0  ","          7,0            ","          0,0   "
Müsli ,"      351,7          ","       109,0  ","         11,5             ","        51,0  ","         10,4             ","       296,0  ","            7,2             ","           3,3  ","             60,1             ","            2,5  ","         2,2             ","        10,0  ","           0,0            ","         0,1  ","         0,0             ","          3,4  ","       105,0            ","          25,0  ","         0,0             ","         0,4  ","             8,1             ","         0,1  ","       100,0            ","         0,3  ","        421,0            ","          1,7   "
Früchte-Müsli ,"      340,4          ","       110,0  ","         12,6             ","        53,0  ","          9,9             ","       290,0  ","            6,0             ","           3,3  ","             60,4             ","            2,5  ","         2,0             ","        29,0  ","           0,0            ","         0,2  ","         0,0             ","          2,7  ","        95,0            ","          21,0  ","         0,0             ","         0,4  ","             8,5             ","         0,1  ","        44,0            ","         0,3  ","        451,0            ","          2,9   "
Müsli mit Trockenobst und Nüssen ,"      390,4          ","       104,0  ","          9,0             ","        73,0  ","          9,8             ","       283,0  ","           11,8             ","           3,2  ","             60,4             ","            2,5  ","         1,7             ","        16,0  ","           2,0            ","         0,0  ","         0,0             ","          2,1  ","        86,0            ","          18,0  ","         0,0             ","         0,3  ","             6,8             ","         0,2  ","        61,0            ","         0,2  ","        377,0            ","          0,7   "
Cornflakes ,"      356,0          ","        14,0  ","          5,7             ","        13,0  ","          7,2             ","        59,0  ","            0,6             ","           2,0  ","             79,1             ","            0,3  ","         0,2             ","        28,0  ","           0,0            ","         0,2  ","         0,0             ","          0,2  ","        80,0            ","           6,0  ","         0,0             ","         0,1  ","             4,0             ","         0,1  ","       938,0            ","         0,1  ","        120,0            ","          0,0   "
Reiscrispies ,"      378,0          ","        30,0  ","          3,0             ","         7,0  ","          6,1             ","        12,0  ","            0,9             ","           0,9  ","             84,9             ","            0,9  ","         0,3             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,6  ","        78,0            ","           7,0  ","         0,0             ","         1,0  ","             2,0             ","         1,3  ","      1061,0            ","         0,2  ","         70,0            ","          0,0   "
Getreideflocken ,"      370,3          ","       139,0  ","         10,0             ","        54,0  ","         12,5             ","       391,0  ","            7,0             ","           4,6  ","             63,3             ","            4,1  ","         2,8             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          1,5  ","       100,0            ","          11,0  ","         0,0             ","         0,6  ","             5,4             ","         0,2  ","         7,0            ","         0,2  ","        348,0            ","          0,0   "
Mehrkornflocken mit Honig geröst ,"      315,8          ","       103,0  ","         12,7             ","        31,0  ","          9,5             ","       329,0  ","            1,7             ","           3,4  ","             64,4             ","            2,7  ","         0,8             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          1,3  ","        82,0            ","          15,0  ","         0,0             ","         0,3  ","             9,9             ","         0,1  ","         7,0            ","         0,3  ","        362,0            ","          0,2   "
Puffreis ,"      390,4          ","        25,0  ","          2,5             ","         6,0  ","          7,5             ","       100,0  ","            2,3             ","           1,1  ","             83,5             ","            1,0  ","         0,8             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        96,0            ","          12,0  ","         0,0             ","         0,1  ","             2,0             ","         0,1  ","         3,0            ","         0,1  ","        110,0            ","          0,0   "
Puffreis mit Zucker/Honig geröst ,"      384,0          ","        23,0  ","          4,2             ","         6,0  ","          6,8             ","        92,0  ","            2,1             ","           1,1  ","             83,0             ","            1,0  ","         0,8             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        86,0            ","           6,0  ","         0,0             ","         0,1  ","             1,8             ","         0,1  ","         3,0            ","         0,1  ","        104,0            ","          0,2   "
Puffmais (Popcorn) ,"      369,4          ","        81,0  ","          4,0             ","        11,0  ","         12,7             ","       281,0  ","            5,0             ","           1,7  ","             67,2             ","            1,7  ","         1,8             ","        80,0  ","           0,0            ","         0,5  ","         0,0             ","          2,9  ","        60,0            ","           6,0  ","         0,0             ","         0,3  ","            10,0             ","         0,1  ","         3,0            ","         0,2  ","        240,0            ","          0,0 "
Laugengebäck ,"      340,4          ","        14,0  ","         12,0             ","        65,0  ","          9,4             ","       427,0  ","            2,6             ","           1,5  ","             68,5             ","            1,3  ","         0,8             ","        11,0  ","           0,0            ","         0,0  ","         0,0             ","          0,7  ","        39,0            ","           4,0  ","         0,0             ","         0,1  ","             4,1             ","         0,1  ","      1184,0            ","         0,1  ","        129,0            ","          0,0   "
Salzgebäck ,"      347,4          ","         0,0  ","          9,0             ","       147,0  ","          9,0             ","       130,0  ","            0,5             ","           0,7  ","             75,3             ","            0,5  ","         0,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","       100,0            ","           0,0  ","         0,0             ","         0,0  ","             0,7             ","         0,0  ","      1790,0            ","         0,0  ","        124,0            ","          0,0   "
Zwieback ,"      365,8          ","        16,0  ","          8,5             ","        42,0  ","          9,2             ","       132,0  ","            4,3             ","           1,5  ","             71,4             ","            0,6  ","         2,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,2  ","        60,0            ","           0,0  ","         0,0             ","         0,1  ","             5,2             ","         0,1  ","       263,0            ","         0,1  ","        160,0            ","          0,0   "
Erdnußflips ,"      530,1          ","        43,0  ","          3,0             ","        16,0  ","          9,7             ","       107,0  ","           34,7             ","           0,9  ","             45,2             ","            0,8  ","        10,0             ","        27,0  ","           0,0            ","         0,2  ","         0,0             ","          5,0  ","        30,0            ","           7,0  ","         0,0             ","         0,2  ","             4,9             ","         0,0  ","       770,0            ","         0,1  ","        165,0            ","          0,0   "
Kräcker ,"      376,6          ","        15,0  ","          4,0             ","        67,0  ","         10,3             ","       458,0  ","            3,3             ","           1,6  ","             75,0             ","            1,5  ","         1,0             ","        16,0  ","           0,0            ","         0,0  ","         0,0             ","          0,8  ","        42,0            ","           4,0  ","         0,0             ","         0,1  ","             4,5             ","         0,1  ","       977,0            ","         0,1  ","        141,0            ","          0,0   "
Knabbergebäck ,"      347,4          ","         0,0  ","          9,0             ","       147,0  ","          9,0             ","       130,0  ","            0,5             ","           0,7  ","             75,3             ","            0,5  ","         0,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","       100,0            ","           0,0  ","         0,0             ","         0,0  ","             0,7             ","         0,0  ","      1790,0            ","         0,0  ","        124,0            ","          0,0   "
Salzstangen ,"      347,4          ","         0,0  ","          9,0             ","       147,0  ","          9,0             ","       130,0  ","            0,5             ","           0,7  ","             75,3             ","            0,5  ","         0,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","       100,0            ","           0,0  ","         0,0             ","         0,0  ","             0,7             ","         0,0  ","      1790,0            ","         0,0  ","        124,0            ","          0,0   "
Blätterteig ,"      418,2          ","        10,0  ","         32,4             ","        15,0  ","          4,0             ","        38,0  ","           32,4             ","           0,6  ","             28,3             ","            0,5  ","         1,4             ","       251,0  ","          92,0            ","         0,1  ","         0,0             ","          0,9  ","        15,0            ","           3,0  ","         0,3             ","         0,0  ","             1,5             ","         0,0  ","       451,0            ","         0,1  ","         48,0            ","          0,1   "
Brandteig ,"      201,7          ","        10,0  ","         63,8             ","        46,0  ","          6,4             ","        98,0  ","           12,6             ","           0,9  ","             15,7             ","            0,7  ","         0,9             ","       153,0  ","         140,0            ","         0,0  ","         0,0             ","          0,9  ","        10,0            ","          12,0  ","         4,4             ","         0,0  ","             0,8             ","         0,1  ","        52,0            ","         0,1  ","         96,0            ","          0,4   "
Hefeteig ,"      307,9          ","        23,0  ","         32,6             ","        44,0  ","          7,9             ","       117,0  ","           10,7             ","           1,6  ","             44,5             ","            1,0  ","         0,8             ","        95,0  ","          58,0            ","         0,0  ","         0,0             ","          0,5  ","        58,0            ","          34,0  ","         1,7             ","         0,1  ","             2,0             ","         0,2  ","       521,0            ","         0,2  ","        160,0            ","          0,4   "
Mürbeteig ,"      480,1          ","        11,0  ","         11,9             ","        12,0  ","          5,1             ","        44,0  ","           27,5             ","           0,8  ","             53,1             ","            0,6  ","         1,2             ","       213,0  ","          78,0            ","         0,1  ","         0,0             ","          0,8  ","        20,0            ","           3,0  ","         0,2             ","         0,0  ","             2,0             ","         0,0  ","        41,0            ","         0,1  ","         59,0            ","          0,1   "
